,Tweet
0, السلام عليكم ، زوجتي تلقت جرعتين من لقاح كورونا وكانت حالة تطبيق توكلنا محصن ، ولكن بالأمس تحولت ح                         
1," 

حجزت عمره من توكلنا وسددت تذاكر النقل مرتين كيف استرجع المبلغ الزايد"
2,                                                                      توصلت عبر الرسائل لكن مايوجد حل للمشكلة
3, عزيزي انا مسجل قبل المغادرة ولدي لقاحين   ولكن التطبيق لا يفتح معي حاولت من جوال ثاني ولكن  للاسف لم يفتح معي
4, السلام عليكم انا موجود في تركيا ومعي توكلنا وأخذ لقاحين من السعودية  ولكن تطبيق توكلنا لا يعمل معي                         
5,"                                                                      صباحك صحة 
 
نحن في مركز ٩٣٧                         "
6, سلام عليكم بعد اتمام الجرعة الثالثه وش راح يكون مكتوب في التطبيق
7, لو سمحت متى تتحدث الحالة في تطبيق توكلنا اليوم لي عشره ايام والى الان مصاب
8," عذراً   سيد توكلنا ،

لا أستطيع حجز موعد جرعه ثانيه 
هل توجد طرق آخرى ؟"
9,                                                      عندي خادمة منزليه منتهيه من الحجر المؤوسسي وللحين ماغيرتوا حا                         
10, السلام عليكم اليوم اكملت ١٤ يوم من اخذ الجرعه الاولى وجاني تنبيه انه تم اكمال ١٤ يوم للجرعه ١ الرج                         
11, كيف يغير الرقم في توكلنا
12,             طيب دق ع الشرطه وعلمهم بالسالفه
13,                               لدي نفس المشكلة هل تم حلها ؟
14,"         أتصلت عليهم يقولون ماله مالنا دخل فيك تفاهم مع وزارة الداخليه؟

اقولهم عطوني مشهد او استثن                         "
15,             والله يخوك ما اقدر افيدك لكن دق على وزارة الصحه وهم يعطونك العلم
16, هل من الممكن عمل اختبار     عبر تطبيق توكلنا للزائرين المغادرين من المملكه
17,                                             مرحبا بك أستاذ محمد ،الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً م 
18," السلام عليكم ورحمة الله وبركاته 
نرجو الرد على الرسائل الخاصة 
دمتم بصحة"
19, الله يعافيكم انتظر الرد ع الخاص
20,"بما أن وزارة الصحة                ضيعت تقريري الطبي حق الاعفاء من لقاح كورونا 
ورفعته حتى ٦ مرات
والمركز اللي دفعت                         "
21,                متى اقدر اخذ الجرعه الثانيه بالضبط ؟
22,                يعطيكم العافيه بس الطريقه ما نفعت معي
23,                اخي الكريم انا مسجل بالتطبيق بالطبع ولكن التطبيق لا يفتح في خارج المملكة وبالتالي ل                         
24,           اذا اعدت جدولة موعد الجرعة الثانية مرة ثانية وما حضرت هل تغلى الجرعة الاولى ؟
25,             كيف حصلتي على مستثنى ممكن خاص
26,                              السلام عليكم ، انا كويتي واحمل اقامة ، سبق وسجلت لقاحاتي بالمملكة وتم                         
27, ابي احجز ويطلع لي كذا ايششش السببب  ؟                        
28, عندي مشكله في تغيير رقم الي مدخله بتوكلنا وابي ادخل رقم جديد 
29," 
كيف يمكن اضافة الأبناء لحساب توكلنا للام علما بأنه لديها حساب في أبشر"
30, كيف اربط التذكره في توكلنا  ؟
31, حالتي في تطبيق توكلنا مستثنى من اللقاح وسبق اخذ جرعة واحدة قبل الاستثناء    لازم اسوي المسحة كل ٢٩ يوم ولا اختياري ؟
32, اوك نم
33, سلام عليكم انا دخلت بتوكلنا طالع لي اني متوفي وش الحل ؟؟
34,                                         مو معقول انو ما اقدر اسوي اجراءات خاصة عندي بسبب تأخيركم في حل الاشكالية  
35,                                         ي الغالي ، البلاغ ذا له شهر ونص ولا احد حله   وكلما اتصل ع                         
36, الصحه يقولون عكس كذا الثالثه المعززه ماتطلع ابدا بتوكلنا ؟ حتى بالجواز الصحي    فهل هذا صحيح
37,
38, بعتلكم خاص
39,                                             مرحبا بك أستاذ محمد ،الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً م 
40, الآن سؤالي الجرعه الثالثه تظهر بتوكلنا أم لا ؟ لأني تواصلت مع الصحه وأفادوا باان الثالثه ماتظهر في                         
41, بعد ال٩٠ يوم ايش حتكون الحاله اذا مااخذت الجرعه الثانيه
42, أهلاً الجرعه الثالثه هل تنزل بتطبيق توكلنا؟ علما انها بصحتي طالعه
43," السلام عليكم ورحمة الله وبركاته
انا خارج المملكة كيف استطيع الدخول على توكلنا"
44,                                                      معاك انتظر افادة واضحة وصريحة بالنسبة لنا نحن                         
45,  سلام عليكم أنا أخذت جرعتين لقاح استرا زنيكا في مصر ومعايا الشهاده تثبت كدا فهل ينفع اسافر بالشهاد                         
46,                                           شكرا لكم اللهويجزاكم خير
47,             في حال تم السماح بالسفر الى دول الخليج بالهوية الوطنية ، هل الهوية الرقمية   في توكلنا   معترف بها لدى                         
48, حجز موعد للقاح عطلان في توكلنا ؟؟
49, السلام عليكم حجزت للصلاة في المسجد الحرام ثم الغيتها ، لتعديل موعد السفر وعند الحجز مرة اخرى يرفض                         
50,                                                                 😔
51, لو سمحت انا اخذت جرعه واحده وانتهت؛ سؤالي هل بيستمر بتوكلنا محصن جرعه اولى والا بيختفي؛ وهل اذا اخ                         
52,                                                                                                                            
53, ليس مستخدم جديد انا مقيم من باكستان
54," 
السلام عليكم هل استطيع تسجيل مقيم خارج السعودية بأبشر وتوكلنا مع العلم انه لا يملك رقم سعودي"
55, لدي استفسار ، السائق الخاص لي قام بالسفر الى الهند بعد اصابته بالفايروس وحصوله على جرعة واحده وتغي                         
56,
57,                                 مرحبا بك أستاذ كاظم، للتسجيل في توكلنا للزائرين يتطلب تواجدك داخل المملكة، نتشرف بخدمتكم
58,"               مساءك صحة أخوي عبدالله  
مركز   ٩٣٧   في خدمتك فضلا التواصل عن طريق الرسائل الخاصة ل                         "
59,"             
 

السلام عليكم انا اخذت تطعيم جرعتين بتطبيق   صحتي موجوده الجرعتين   وبتطبيق   توكلن                         "
60,  ماهي الحالة التي تظهر في تطبيق توكلنا لمن أخذ الجرعة المعززة ؟
61, ياريت ترجعوا للخاص لو سمحتوا انا داخلة على اسبوعين كل يوم اتواصل معكم ومع الصحة واحد يبعتني للتاني                         
62, شكراً لكم 
63, ممكن الرد بالخاص عندي مشكله
64,"                                     
 
لا بأس عليك إن شاء الله
نرجوا تزويدنا بكافة المعلومات والتف                         "
65,"             

التقرير واضح وبالاحمر
حتى الأطفال يعرفون يقرون الاعفاء
أعفاء من دكتوري الاعصاب
 عشان العلاج الطبيعي                         "
66, السلام عليكم ، انا ابغى احدث رقم الجوال و غيرته من ابشر بس ما تغير معي ف توكلنا                        
67,"                              
             
              
معالي وزير  الصحة     
مسؤولي تطبيق توك                         "
68,                تواصلت وتم رفع بلاغ وتعقيب ومرت اربع ايام ولم تتغير الحاله و رحت للمركز اللي اخذت م                         
69,                هل  يستطيع أحد من اصدقائي تغيره من داخل المملكة      
70,                هل  يستطيع أحد من اصدقائي تغيره من داخل المملكة    
71, عندي عاملة منزلية من بنقلادش اخذت جرعة واحده فايزر فالمملكة وبعدها سافرة والان بترجع هل يلزم حجر
72," 
السلام عليكم انا حجزت تصريع لزيارة المدينة المنوره قبر الرسول    بس ما طلب مني اليوم او الساعة ؟                         "
73, ماشاء الله تبارك الله متوقعت حد يرد علي ربي يجزاكم الف خير
74, لو سمحتو انا التطبيق عندي ما ينفتح ادخل الهوية وكلمة المرور  يقول نظرا لعدد محاولاتك الفاشلة تم اي                         
75, السلام عليكم اخواني الكرام انا مقيم في السعوديه وسافرت اليمن قبل سنه وثلاثه شهور وتم اخذ التلقيح ا                         
76,                هل يستطيع أحد من اصدقائي داخل المملكة تغيره  
77,"                              
             
              
معالي وزير  الصحة     
مسؤولي تطبيق توك                         "
78,"                
             
              
معالي وزير  الصحة     
مسؤولي تطبيق توكلنا
منذ   يوم                         "
79,"                                        مساءك صحة 
 مركز   ٩٣٧   في خدمتك فضلا التواصل عن طريق الرس                         "
80,        لدي خطاء في رخصة السير الموجودة في نظام  والان لي سنه ولم تحل المشكله حيث ان اسم المستخدم خ                         
81,                  مرحبا بك أستاذ ياسر ، شكرا لك اقتراحك محل اهتمامنا ، نتشرف بخدمتكم
82, توكلنا يقولون وزارة الصحة ووزارة الصحة تقول توكلنا     ماعندكم خطط استراتيجية وتنظيم واضح ؟                         
83, السلام عليكم لو تكرمتم في التطبيق الحالة كانت محصن اكمل الجرعات الحين ما يظهر الحالة يعطيني غير مع                         
84,               توكلنا يقولون وزارة الصحة ووزارة الصحة تقول توكلنا     ماعندكم خطط استراتيجية وتنظيم                         
85,                نفس المشكلة لقيت لها طريقة ؟
86,                حتى الخاص ماتردون زين
87,"                نفس ما ارسلتوا لي بالخاص
وزارة الصحة يقولون مو من اختصاصنا تواصلوا مع توكلنا 
وهذي                         "
88,             نعم
89,                  معليش هل التطبيق معلق لانه مو راضي يدخل ؟
90, اريد تسجيل الدخول توكلنا من خارج المملكة
91,"                  اذا حاولت تدخل البوابة الخارجية وجهك هذي الرسالة 
                             
م                         "
92, ماحتواصل خاص لين ماتحلو مشكلتي
93, قمت بكافه الإجراءات المذكوره من قبلكم ولم يظهر المرافقين في حاله إصدار تصريح العمره
94," وعليكم السلام
لم يتم حل المشكله ومازالت قائمه 
الحاله غير محصن    "
